School Year,Division Number,Division Name,Subject,Race,Test Source,Test,Pass Count,Total Count,Pass Rate
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,575,986,58.32
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,766,879,87.14
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,539,857,62.89
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,747,807,92.57
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,565,810,69.75
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,715,772,92.62
2008-2009,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,583,768,75.91
2008-2009,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,787,828,95.05
2009-2010,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,516,761,67.81
2009-2010,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,701,745,94.09
2010-2011,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,528,773,68.31
2010-2011,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,775,813,95.33
2011-2012,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,557,741,75.17
2011-2012,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,796,826,96.37
2012-2013,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,354,699,50.64
2012-2013,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,720,789,91.25
2013-2014,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,361,705,51.21
2013-2014,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,725,791,91.66
2014-2015,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,409,691,59.19
2014-2015,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,714,768,92.97
2015-2016,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,388,682,56.89
2015-2016,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,720,794,90.68
2016-2017,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,386,682,56.60
2016-2017,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,718,779,92.17
2017-2018,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,356,722,49.31
2017-2018,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,722,809,89.25
2018-2019,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,334,706,47.31
2018-2019,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,745,842,88.48
