School Year,Division Number,Division Name,Subject,Race,Test Source,Test,Pass Count,Total Count,Pass Rate
2005-2006,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,586,796,73.62
2005-2006,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,597","4,972",92.46
2005-2006,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,575,986,58.32
2005-2006,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,766,879,87.14
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,232,327,70.95
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,295","1,490",86.91
2005-2006,39,Greene County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,95,154,61.69
2005-2006,39,Greene County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,939,"1,122",83.69
2005-2006,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,364,525,69.33
2005-2006,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,392","1,652",84.26
2005-2006,62,Nelson County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,149,180,82.78
2005-2006,62,Nelson County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,663,748,88.64
2006-2007,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,583,805,72.42
2006-2007,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,471","4,862",91.96
2006-2007,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,539,857,62.89
2006-2007,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,747,807,92.57
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,237,333,71.17
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,340","1,494",89.69
2006-2007,39,Greene County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,113,167,67.66
2006-2007,39,Greene County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,980,"1,160",84.48
2006-2007,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,345,512,67.38
2006-2007,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,473","1,758",83.79
2006-2007,62,Nelson County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,137,174,78.74
2006-2007,62,Nelson County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,691,779,88.70
2007-2008,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,611,797,76.66
2007-2008,2,Albemarle County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"4,590","4,887",93.92
2007-2008,104,Charlottesville City,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,565,810,69.75
2007-2008,104,Charlottesville City,English:Reading,"White, not of Hispanic origin",SOL,English Reading,715,772,92.62
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,250,329,75.99
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,333","1,478",90.19
2007-2008,39,Greene County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,102,149,68.46
2007-2008,39,Greene County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,047","1,205",86.89
2007-2008,54,Louisa County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,377,478,78.87
2007-2008,54,Louisa County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,494","1,681",88.88
2007-2008,62,Nelson County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,145,192,75.52
2007-2008,62,Nelson County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,718,801,89.64
2008-2009,2,Albemarle County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,663,814,81.45
