School Year,Division Number,Division Name,Subject,Race,Test Source,Test,Pass Count,Total Count,Pass Rate
2005-2006,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,232,327,70.95
2005-2006,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,295","1,490",86.91
2006-2007,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,237,333,71.17
2006-2007,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,340","1,494",89.69
2007-2008,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,250,329,75.99
2007-2008,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,333","1,478",90.19
2008-2009,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,247,307,80.46
2008-2009,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,342","1,461",91.85
2009-2010,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,264,358,73.74
2009-2010,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,309","1,470",89.05
2010-2011,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,226,306,73.86
2010-2011,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,314","1,486",88.43
2011-2012,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,240,314,76.43
2011-2012,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,340","1,508",88.86
2012-2013,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,163,289,56.40
2012-2013,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,131","1,410",80.21
2013-2014,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,172,296,58.11
2013-2014,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,136","1,437",79.05
2014-2015,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,177,287,61.67
2014-2015,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,132","1,356",83.48
2015-2016,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,181,273,66.30
2015-2016,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,162","1,382",84.08
2016-2017,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,174,270,64.44
2016-2017,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,176","1,435",81.95
2017-2018,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,175,278,62.95
2017-2018,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,152","1,380",83.48
2018-2019,32,Fluvanna County,English:Reading,"Black, not of Hispanic origin",SOL,English Reading,154,277,55.60
2018-2019,32,Fluvanna County,English:Reading,"White, not of Hispanic origin",SOL,English Reading,"1,070","1,352",79.14
